id	country	collection_date
KF283987.1_Comoros_2005-07-01	Comoros	2005-07-01
KF283986.1_Comoros_2005-07-01	Comoros	2005-07-01
KT336782.1_India_2013-05-27	India	2013-05-27
KT336780.1_India_2012-08-03	India	2012-08-03
KT336778.1_India_2010-07-16	India	2010-07-16
KT336777.1_India_2009-04-08	India	2009-04-08
KT449801.1_Reunion_2006-07-01	Reunion	2006-07-01
KR264951.1_Puerto Rico_2014-08-14	Puerto Rico	2014-08-14
KC614648.1_Yemen_2011-01-25	Yemen	2011-01-25
KP851710.1_Mexico_2014-05-30	Mexico	2014-05-30
KP164572.1_Brazil_2014-08-21	Brazil	2014-08-21
KP164571.1_Brazil_2014-07-03	Brazil	2014-07-03
KP164569.1_Brazil_2014-08-28	Brazil	2014-08-28
KP164567.1_Brazil_2014-08-28	Brazil	2014-08-28
KP164869.1_Thailand_2009-07-01	Thailand	2009-07-01
KM673291.1_Indonesia_2013-01-15	Indonesia	2013-01-15
KF151175.1_Myanmar_2009-12-11	Myanmar	2009-12-11
KF151174.1_Myanmar_2009-07-13	Myanmar	2009-07-13
KM923920.1_Malaysia_2007-03-09	Malaysia	2007-03-09
KJ689452.1_Micronesia_2013-11-15	Micronesia	2013-11-15
KP003812.1_Gabon_2007-07-01	Gabon	2007-07-01
KP003807.1_France_2006-07-01	France	2006-07-01
KJ579187.1_Thailand_2013-10-14	Thailand	2013-10-14
KF590567.1_Myanmar_2010-07-01	Myanmar	2010-07-01
KF590566.1_Myanmar_2010-07-01	Myanmar	2010-07-01
KF590565.1_Myanmar_2010-07-01	Myanmar	2010-07-01
AB860301.3_Philippines_2013-07-01	Philippines	2013-07-01
KJ679578.1_India_2011-12-21	India	2011-12-21
KJ679577.1_India_2011-09-12	India	2011-09-12
KJ796850.1_Thailand_2009-09-16	Thailand	2009-09-16
KJ796849.1_Thailand_2008-12-23	Thailand	2008-12-23
KJ796848.1_Thailand_2008-11-06	Thailand	2008-11-06
KJ796846.1_India_2009-08-18	India	2009-08-18
KJ796845.1_India_2009-08-04	India	2009-08-04
KJ796844.1_India_2009-08-04	India	2009-08-04
JQ065892.1_China_2010-10-15	China	2010-10-15
JQ065890.1_China_2010-10-15	China	2010-10-15
JQ065888.1_China_2010-10-15	China	2010-10-15
JQ065886.1_China_2010-10-15	China	2010-10-15
KF872195.1_Russia_2013-09-24	Russia	2013-09-24
KF318729.1_China_2012-07-06	China	2012-07-06
KC862329.1_Indonesia_2010-07-01	Indonesia	2010-07-01
HQ846359.1_China_2010-10-15	China	2010-10-15
HQ846358.1_China_2010-10-15	China	2010-10-15
HQ846357.1_China_2010-10-15	China	2010-10-15
HQ846356.1_China_2010-10-15	China	2010-10-15
